exp_title;exp_author;exp_version;alfred_version;element_type;name;label_top;label_left;label_right;label_bottom;force_input;default;placeholder;prefix;suffix;description;tree;page_title;unlinked;n_choices;choice1;choice2;choice3;choice4;choice5;choice6;choice7;choice8;choice9;ndecimals;decimal_signs;min;max;regex_pattern
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceList;sl3;What is the highest level of education you have completed?;;;;True;1;;;;;_content.intro_info_consent.AGEP;;False;9;Select;Less than Secondary school;GCSE's;A Levels;Undergraduate Degree;Postgraduate Certificate;Master's Degree;Professional Degree;Doctoral Degree;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_01;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_0;Practice Trial #01;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_02;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_1;Practice Trial #02;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_03;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_2;Practice Trial #03;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_04;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_3;Practice Trial #04;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_05;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_4;Practice Trial #05;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_06;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_5;Practice Trial #06;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_07;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_6;Practice Trial #07;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_08;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_7;Practice Trial #08;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_09;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_8;Practice Trial #09;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_10;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_9;Practice Trial #10;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;MatchEntry;bonus_info;;Please type <u>'I understand'</u> into the box below to show that you have read the incentive/bonus information.;;;True;;;;;;_content.Official.Part2;;False;;;;;;;;;;;;;;;I understand
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_11;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_10;Main Task - Trial #01 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_11;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_10;Main Task - Trial #01 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_11;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_10;Main Task - Trial #01 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_11;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_10;Main Task - Trial #01 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_12;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_11;Main Task - Trial #02 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_12;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_11;Main Task - Trial #02 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_12;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_11;Main Task - Trial #02 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_12;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_11;Main Task - Trial #02 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_13;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_12;Practice Trial #01;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_13;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_12;Main Task - Trial #03 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_13;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_12;Main Task - Trial #03 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_13;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_12;Main Task - Trial #03 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_14;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_13;Practice Trial #02;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_14;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_13;Main Task - Trial #04 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_14;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_13;Main Task - Trial #04 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_14;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_13;Main Task - Trial #04 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_15;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_14;Practice Trial #03;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_15;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_14;Main Task - Trial #05 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_15;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_14;Main Task - Trial #05 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_15;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_14;Main Task - Trial #05 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_16;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_15;Practice Trial #04;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_16;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_15;Main Task - Trial #06 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_16;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_15;Main Task - Trial #06 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_16;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_15;Main Task - Trial #06 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_17;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_16;Practice Trial #05;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_17;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_16;Main Task - Trial #07 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_17;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_16;Main Task - Trial #07 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_17;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_16;Main Task - Trial #07 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_18;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_17;Practice Trial #06;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_18;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_17;Main Task - Trial #08 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_18;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_17;Main Task - Trial #08 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_18;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_17;Main Task - Trial #08 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_19;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_18;Practice Trial #07;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_19;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_18;Main Task - Trial #09 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_19;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_18;Main Task - Trial #09 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_19;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_18;Main Task - Trial #09 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_20;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_19;Practice Trial #08;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_20;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_19;Main Task - Trial #10 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_20;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_19;Main Task - Trial #10 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_20;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_19;Main Task - Trial #10 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;participant_age;What is your age?;;;;True;;Enter your age;;;;_content.intro_info_consent.AGEP;;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;mt;How much do you think the total bill was?;;;;False;;;;;;_content.instructions_section.Instructions;Welcome!;False;;;;;;;;;;;0;, .;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_21;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_20;Practice Trial #09;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_22;How much do you think the total bill was?;;;;True;;;;;;_content.Practice.trial_21;Practice Trial #10;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_23;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_22;Main Task - Trial #01 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_23;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_22;Main Task - Trial #01 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_23;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_22;Main Task - Trial #01 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_23;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_22;Main Task - Trial #01 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_24;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_23;Main Task - Trial #02 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_24;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_23;Main Task - Trial #02 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_24;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_23;Main Task - Trial #02 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_24;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_23;Main Task - Trial #02 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_25;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_24;Main Task - Trial #03 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_25;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_24;Main Task - Trial #03 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_25;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_24;Main Task - Trial #03 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_25;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_24;Main Task - Trial #03 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_26;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_25;Main Task - Trial #04 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_26;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_25;Main Task - Trial #04 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_26;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_25;Main Task - Trial #04 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_26;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_25;Main Task - Trial #04 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_27;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_26;Main Task - Trial #05 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_27;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_26;Main Task - Trial #05 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_27;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_26;Main Task - Trial #05 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_27;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_26;Main Task - Trial #05 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_28;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_27;Main Task - Trial #06 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_28;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_27;Main Task - Trial #06 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_28;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_27;Main Task - Trial #06 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_28;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_27;Main Task - Trial #06 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_29;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_28;Main Task - Trial #07 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_29;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_28;Main Task - Trial #07 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_29;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_28;Main Task - Trial #07 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_29;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_28;Main Task - Trial #07 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_30;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_29;Main Task - Trial #08 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_30;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_29;Main Task - Trial #08 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_30;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_29;Main Task - Trial #08 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_30;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_29;Main Task - Trial #08 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_31;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_30;Main Task - Trial #09 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_31;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_30;Main Task - Trial #09 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_31;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_30;Main Task - Trial #09 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_31;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_30;Main Task - Trial #09 - Second Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;prediction_32;How much do you think the total bill was?;;;;True;;;;;;_content.Official.trial_31;Main Task - Trial #10 - First Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b1_32;How confident are you in the accuracy of your first estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial_31;Main Task - Trial #10 - First Estimate;False;5;;;;;;;;;;;;;;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;NumberEntry;pred_32;You should now make a second estimate in the box below.;;;;True;;;;;;_content.Official.trial0_31;Main Task - Trial #10 - Second Estimate;False;;;;;;;;;;;0;, .;0;100;
Study 1 Hybrid Advice;Authors;1.0;2.4.0;SingleChoiceButtons;b2_32;How confident are you in the accuracy of your second estimate?;not at all confident;very confident;;True;;;;;;_content.Official.trial0_31;Main Task - Trial #10 - Second Estimate;False;5;;;;;;;;;;;;;;
